date,home_team,score,away_team
13-08-2021,Brentford,2 - 0,Arsenal
22-08-2021,Arsenal,0 - 2,Chelsea
28-08-2021,Man City,5 - 0,Arsenal
11-09-2021,Arsenal,1 - 0,Norwich
18-09-2021,Burnley,0 - 1,Arsenal
26-09-2021,Arsenal,3 - 1,Tottenham
02-10-2021,Brighton,0 - 0,Arsenal
18-10-2021,Arsenal,2 - 2,Crystal Palace
22-10-2021,Arsenal,3 - 1,Aston Villa
30-10-2021,Leicester,0 - 2,Arsenal
07-11-2021,Arsenal,1 - 0,Watford
20-11-2021,Liverpool,4 - 0,Arsenal
27-11-2021,Arsenal,2 - 0,Newcastle
02-12-2021,Man United,3 - 2,Arsenal
06-12-2021,Everton,2 - 1,Arsenal
11-12-2021,Arsenal,3 - 0,Southampton
15-12-2021,Arsenal,2 - 0,West Ham
18-12-2021,Leeds,1 - 4,Arsenal
26-12-2021,Norwich,0 - 5,Arsenal
01-01-2022,Arsenal,1 - 2,Man City
23-01-2022,Arsenal,0 - 0,Burnley
10-02-2022,Wolves,0 - 1,Arsenal
19-02-2022,Arsenal,2 - 1,Brentford
24-02-2022,Arsenal,2 - 1,Wolves
06-03-2022,Watford,2 - 3,Arsenal
13-03-2022,Arsenal,2 - 0,Leicester
16-03-2022,Arsenal,0 - 2,Liverpool
19-03-2022,Aston Villa,0 - 1,Arsenal
04-04-2022,Crystal Palace,3 - 0,Arsenal
09-04-2022,Arsenal,1 - 2,Brighton
16-04-2022,Southampton,1 - 0,Arsenal
20-04-2022,Chelsea,2 - 4,Arsenal
23-04-2022,Arsenal,3 - 1,Man United
01-05-2022,West Ham,1 - 2,Arsenal
08-05-2022,Arsenal,2 - 1,Leeds
12-05-2022,Tottenham,3 - 0,Arsenal
16-05-2022,Newcastle,2 - 0,Arsenal
22-05-2022,Arsenal,5 - 1,Everton
